uri,artis_judulLagu,Label
0ROj512WvJ1eqeELd7MEdJ,Banda Neira - Sampai Jadi Debu (Menampilkan Gardika Gigih),badai tuan telah berlalu salahkah ku menuntut mesra? tiap pagi menjelang kau di sampingku ku aman ada bersamamu selamanya sampai kita tua ... bandaneira indonesianfolkpop indonesianindi indonesianpop
7jZsrQkxnhsnPRlgWiQxLH,Banda Neira - Senja di Jakarta,"bersepeda di kala senja mengejar mentari tenggelam hangat jingga temani rasa nikmati jakarta bersepeda kelil kota kanan kiri, ramai jalanan arungi lautan kendaraan uwo oh maafkan jakarta parapa, parapa, parapa, parara ... bandaneira indonesianfolkpop indonesianindi indonesianpop"
4RWsdx5N1JpprNlovU7dOL,Float - Sementara (Live),sementara teduhlah hatiku tidak lagi jauh belum saatnya kau jatuh sementara ingat lagi mimpi juga janji-janji jangan kau ingkari lagi percayalah hati lebih dari ini pernah kita lalui jangan henti disini sementara lupakanlah rindu ... float indonesianfolk indonesianindi
3FyODfVAL5huAUqd7FhlTP,Senar Senja - Bersenjagurau,"uh-uh-uh, uh-uh-uh ah-ah-ah langit senja, bawa aku bermain bersama di hari yang cerah kicau burung, bernyanyilah temani hangatnya, senyuman indahnya lupakan gundahmu ... senarsenja indonesianfolk indonesianindi"
6ZjfVru61QLpKl0gQ8JSmT,Senar Senja - Dialog Hujan,bicara rindu bicara haru luangkan ruang imajimu bernyanyi merdu bernyanyi sendu bebaskan birunya hatimu ... senarsenja indonesianfolk indonesianindi
6wHnwqvtNdQicSPTTkYRQN,"Nosstress - Semoga, Ya","semoga, ya, hari ini lebih baik dari hari kemarin yang lewat begitu saja tanpa lakukan apa-apa semoga, ya, pagi ini lebih cerah dari pagi kemarin mungkin bisa bangun lebih dini 'tuk bergega siapkan diri ... nosstress indonesianfolk indonesianfolkpop indonesianindi"
0w6iO73gRXnjA4xhxOED4H,Banda Neira - Mewangi,riuh rasa diembannya melewati hari menyeruak mengumbar wewangi ... bandaneira indonesianfolkpop indonesianindi indonesianpop
6xHRfpo0kMRNuZ3v1e3xYF,Nosstress - Pegang Tanganku,"pegang tanganku hentikan tawamu sejenak sudah terlalu banyak 'tuk senang sudah saatnya merenung dan bersyukur oh, indahnya menjalani denganmu oh, nikmatnya bersamamu tapi kita haru mulai mengerti tapi kita haru mulai batasi kar'na, kar'na, kar'na indah itu tak selalu ada senang itu sementara jika senang, jangan terlalu jika sedih, jangan terlalu ... nosstress indonesianfolk indonesianfolkpop indonesianindi"
5Ge3e6dV4wsae8lDQQq8PY,Float - Pulang,"dan lalu rasa itu tak mungkin lagi kini tersimpan di hati bawa aku pulang, rindu bersamamu dan lalu air mata tak mungkin lagi kini bicara tentang rasa bawa aku pulang, rindu segera ... float indonesianfolk indonesianindi"
31VumPyqGjXeqYDQRy90y0,Silampukau - Puan Kelana,"kau putar sekali lagi champs-�lys� lidah kita bertaut � la fran�ais langit sungguh jingga itu sore dan kau masih milikku kita tak pernah suka air mata berangkatlah sendiri ke djuanda tiap kali langit meremang jingga aku 'kan merindukanmu ah, kau puan kelana mengapa musti ke sana? jauh-jauh puan kembara sedang dunia punya luka yang sama ... silampukau indonesianfolk indonesianindi surabayaindi"
