judul_lagu;nama_artis;playlist_name;url;genre_lagu;lyrics
Malam Jatuh Di Surabaya;Silampukau;FOLK /INDIE INDONESIA;6OAz55LXyPBdZhaxE761Mi;['indonesian folk', 'indonesian indie', 'surabaya indie'];Gelanggang ganas 5:15 Di Ahmad Yani yang beringas Sinar kuning merkuri Pendar celaka akhir hari Malam jatuh di Surabaya ...
Sampai Jadi Debu (Menampilkan Gardika Gigih);Banda Neira;FOLK /INDIE INDONESIA;0ROj512WvJ1eqeELd7MEdJ;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Badai Tuan telah berlalu Salahkah ku menuntut mesra? Tiap pagi menjelang Kau di sampingku Ku aman ada bersamamu  Selamanya Sampai kita tua ...
Senja di Jakarta;Banda Neira;FOLK /INDIE INDONESIA;7jZsrQkxnhsnPRlgWiQxLH;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Bersepeda di kala senja Mengejar mentari tenggelam Hangat jingga temani rasa Nikmati Jakarta  Bersepeda keliling kota Kanan kiri, ramai jalanan Arungi lautan kendaraan uwo oh Maafkan Jakarta Parapa, parapa, parapa, parara ...
Sementara (Live);Float;FOLK /INDIE INDONESIA;4RWsdx5N1JpprNlovU7dOL;['indonesian folk', 'indonesian indie'];Sementara Teduhlah hatiku Tidak lagi jauh Belum saatnya kau jatuh  Sementara Ingat lagi mimpi Juga janji-janji Jangan kau ingkari lagi  Percayalah hati Lebih dari ini Pernah kita lalui Jangan henti disini  Sementara Lupakanlah rindu ...
Bersenjagurau;Senar Senja;FOLK /INDIE INDONESIA;3FyODfVAL5huAUqd7FhlTP;['indonesian folk', 'indonesian indie'];Uh-uh-uh, uh-uh-uh Ah-ah-ah  Langit senja, bawa aku Bermain bersama di hari yang cerah Kicau burung, bernyanyilah Temani hangatnya, senyuman indahnya  Lupakan gundahmu ...
Dialog Hujan;Senar Senja;FOLK /INDIE INDONESIA;6ZjfVru61QLpKl0gQ8JSmT;['indonesian folk', 'indonesian indie'];Bicara rindu Bicara haru Luangkan ruang imajimu  Bernyanyi merdu Bernyanyi sendu Bebaskan birunya hatimu ...
Semoga, Ya;Nosstress;FOLK /INDIE INDONESIA;6wHnwqvtNdQicSPTTkYRQN;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];Semoga, ya, hari ini Lebih baik dari hari kemarin Yang lewat begitu saja Tanpa lakukan apa-apa  Semoga, ya, pagi ini Lebih cerah dari pagi kemarin Mungkin bisa bangun lebih dini 'Tuk bergegas siapkan diri  ...
Mewangi;Banda Neira;FOLK /INDIE INDONESIA;0w6iO73gRXnjA4xhxOED4H;['indonesian folk pop', 'indonesian indie', 'indonesian pop'];Riuh rasa diembannya Melewati hari Menyeruak Mengumbar wewangi ...
Pegang Tanganku;Nosstress;FOLK /INDIE INDONESIA;6xHRfpo0kMRNuZ3v1e3xYF;['indonesian folk', 'indonesian folk pop', 'indonesian indie'];Pegang tanganku Hentikan tawamu sejenak Sudah terlalu banyak 'tuk senang Sudah saatnya merenung dan bersyukur  Oh, indahnya menjalani denganmu Oh, nikmatnya bersamamu Tapi kita harus mulai mengerti Tapi kita harus mulai batasi Kar'na, kar'na, kar'na  Indah itu tak selalu ada Senang itu sementara Jika senang, jangan terlalu Jika sedih, jangan terlalu  ...
Pulang;Float;FOLK /INDIE INDONESIA;5Ge3e6dV4wsae8lDQQq8PY;['indonesian folk', 'indonesian indie'];Dan lalu Rasa itu tak mungkin lagi kini Tersimpan di hati Bawa aku pulang, rindu Bersamamu  Dan lalu Air mata tak mungkin lagi kini Bicara tentang rasa Bawa aku pulang, rindu Segera ...
